Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20181024_194534;0.614;0.245;10.596;-0.011;0.008;-0.041;0.0;21.017;35.846;-0.441;5.0;19.17160;72.95420;-56.3;9.5
20181024_194535;0.272;-1.158;9.981;-0.032;0.018;-0.005;0.0;23.351;35.889;0.558;5.0;19.17160;72.95420;-56.3;9.5
20181024_194535;-0.027;-1.852;10.124;-0.008;0.020;0.011;0.0;21.854;34.882;2.286;5.0;19.17162;72.95418;-56.6;10.1
20181024_194536;0.140;-0.981;10.086;0.004;0.007;0.001;0.0;22.752;37.346;2.074;5.0;19.17162;72.95418;-56.6;10.1
20181024_194536;0.155;0.805;9.770;0.027;0.007;-0.001;0.0;21.062;34.290;1.743;5.0;19.17163;72.95417;-56.8;6.7
20181024_194537;0.133;0.635;9.799;-0.004;0.012;-0.001;0.0;22.742;34.676;2.136;5.0;19.17163;72.95417;-56.8;6.7
20181024_194537;0.126;0.733;9.729;-0.002;0.009;-0.001;0.0;20.982;35.709;1.717;5.0;19.17164;72.95416;-55.1;1.0
20181024_194538;0.174;0.891;9.799;-0.003;0.003;-0.001;0.0;21.539;35.379;3.564;5.0;19.17164;72.95416;-55.1;1.0
20181024_194538;0.222;0.851;9.883;-0.003;0.004;-0.003;0.0;23.126;35.590;0.990;5.0;19.17164;72.95416;-54.7;0.0
20181024_194539;0.176;0.827;9.796;-0.004;0.006;-0.003;0.0;22.383;33.737;0.331;5.0;19.17164;72.95416;-54.7;0.0
20181024_194539;0.097;0.805;9.892;-0.003;0.003;-0.002;0.0;22.440;34.689;1.819;5.0;19.17163;72.95417;-55.5;0.0
20181024_194540;0.095;1.475;9.380;-0.002;-0.002;0.001;0.0;22.130;36.589;1.520;5.0;19.17163;72.95417;-55.5;0.0
20181024_194540;0.262;1.564;9.871;-0.010;-0.003;-0.005;0.0;22.789;33.871;0.200;5.0;19.17163;72.95417;-55.5;0.0
20181024_194541;0.183;2.060;10.203;0.006;0.011;0.003;0.0;23.296;34.480;0.891;5.0;19.17163;72.95417;-55.5;0.0
20181024_194541;-0.260;2.251;10.072;0.016;-0.009;0.011;0.0;23.875;36.174;0.444;5.0;19.17163;72.95417;-55.3;0.0
20181024_194542;-0.109;1.471;9.413;0.030;0.022;-0.009;0.0;21.640;35.985;1.295;5.0;19.17163;72.95417;-55.3;0.0
20181024_194542;0.243;1.100;9.569;-0.028;0.040;-0.020;0.0;21.548;37.076;-0.313;5.0;19.17163;72.95417;-55.5;0.0
20181024_194543;0.145;0.877;9.751;-0.022;-0.006;-0.040;0.0;20.625;37.143;1.996;5.0;19.17163;72.95417;-55.5;0.0
20181024_194543;-0.161;1.258;9.480;-0.013;-0.015;-0.036;0.0;20.679;35.397;0.128;5.0;19.17163;72.95417;-55.9;0.0
20181024_194544;0.583;1.363;10.005;-0.059;-0.095;-0.027;0.0;18.330;35.544;3.024;5.0;19.17163;72.95417;-55.9;0.0
20181024_194544;0.018;1.363;9.890;0.031;0.015;-0.041;0.0;19.650;38.338;7.355;5.0;19.17164;72.95415;-57.2;9.0
20181024_194545;0.205;0.896;10.141;0.002;0.061;-0.012;0.0;18.440;41.547;7.619;5.0;19.17164;72.95415;-57.2;9.0
20181024_194545;-0.348;-0.325;10.352;-0.060;-0.012;0.054;0.0;15.346;42.480;5.757;5.0;19.17166;72.95412;-63.5;9.1
20181024_194546;-0.185;-0.665;10.141;0.000;0.010;0.055;0.0;16.940;39.861;3.076;5.0;19.17166;72.95412;-63.5;9.1
20181024_194546;-0.116;0.388;9.945;-0.003;0.010;0.052;0.0;15.944;39.134;4.066;5.0;19.17168;72.95410;-63.8;9.2
20181024_194547;-0.319;1.188;9.897;0.000;0.023;0.072;0.0;17.503;37.645;4.903;5.0;19.17168;72.95410;-63.8;9.2
20181024_194547;0.155;1.499;9.483;-0.003;0.024;0.015;0.0;19.904;32.330;4.633;5.0;19.17170;72.95407;-63.9;6.6
20181024_194548;-0.063;1.313;9.423;-0.007;0.013;-0.010;0.0;20.943;34.950;4.904;5.0;19.17170;72.95407;-63.9;6.6
20181024_194548;-0.200;1.286;9.337;-0.015;0.009;0.070;0.0;22.737;33.437;4.349;5.0;19.17171;72.95405;-63.3;6.4
20181024_194549;-0.307;1.030;9.370;-0.011;0.006;0.095;0.0;24.356;33.813;3.188;5.0;19.17171;72.95405;-63.3;6.4
20181024_194549;-0.080;0.860;9.763;0.033;-0.010;0.093;0.0;25.751;33.110;3.006;5.0;19.17173;72.95403;-63.4;8.0
20181024_194550;0.389;0.525;9.777;0.000;-0.001;-0.018;0.0;24.034;29.726;0.781;5.0;19.17173;72.95403;-63.4;8.0
