"","","","","",""
"20181024_194705","0.205","0.482","9.358","19.17221","72.95354"
"20181024_194706","0.025","0.659","9.222","19.17221","72.95354"
"20181024_194706","0.442","1.14","9.921","19.17223","72.95352"
"20181024_194707","0.265","0.453","9.861","19.17223","72.95352"
"20181024_194707","-0.588","-0.675","10.048","19.17225","72.9535"
"20181024_194708","-0.058","0.494","10.038","19.17225","72.9535"
"20181024_194708","-0.348","1.669","9.069","19.17227","72.95349"
"20181024_194709","0.346","2.199","9.215","19.17227","72.95349"
"20181024_194709","-0.413","2.007","10.067","19.17228","72.95347"
"20181024_194710","0.432","1.531","9.595","19.17228","72.95347"
"20181024_194710","0.791","1.698","9.492","19.1723","72.95346"
"20181024_194711","0.859","2.024","9.71","19.1723","72.95346"
"20181024_194711","-0.068","1.93","9.638","19.17232","72.95343"
"20181024_194712","0.138","0.982","9.629","19.17232","72.95343"
"20181024_194712","0.191","0.884","10.158","19.17235","72.95341"
"20181024_194713","0.095","-0.742","10.021","19.17235","72.95341"
"20181024_194713","0.25","-0.986","9.887","19.17238","72.95338"
"20181024_194714","0.109","-1.055","10.132","19.17238","72.95338"
"20181024_194714","0.298","0.453","9.895","19.17241","72.95336"
"20181024_194715","0.198","0.281","9.914","19.17241","72.95336"
"20181024_194715","0.21","0.721","9.839","19.17242","72.95334"
"20181024_194716","0.258","1.159","9.658","19.17242","72.95334"
"20181024_194716","0.171","1.282","9.957","19.17243","72.95333"
"20181024_194717","0.435","1.813","9.31","19.17243","72.95333"
"20181024_194717","0.231","1.906","9.713","19.17244","72.95332"
"20181024_194718","0.509","1.14","10.053","19.17244","72.95332"
"20181024_194718","0.514","1.83","9.318","19.17245","72.95331"
"20181024_194719","0.552","1.717","9.502","19.17245","72.95331"
"20181024_194719","0.372","1.89","9.476","19.17246","72.95329"
"20181024_194720","-0.111","1.698","9.55","19.17246","72.95329"
"20181024_194720","0.123","0.621","10.347","19.17248","72.95328"
"20181024_194721","0.363","1.243","10.199","19.17248","72.95328"
"20181024_194722","0.26","1.689","9.626","19.1725","72.95325"
"20181024_194722","0.033","1.42","9.926","19.1725","72.95325"
"20181024_194723","0.545","1.279","9.294","19.17252","72.95322"
"20181024_194723","-0.25","0.614","9.866","19.17252","72.95322"
"20181024_194724","0.102","0.525","10.443","19.17255","72.9532"
"20181024_194724","0.116","-0.189","9.686","19.17255","72.9532"
"20181024_194725","0.073","1.097","9.409","19.17257","72.95317"
"20181024_194725","0.416","0.822","10.074","19.17257","72.95317"
"20181024_194726","0.428","0.843","9.753","19.17259","72.95314"
"20181024_194726","0.284","0.829","9.969","19.17259","72.95314"
"20181024_194727","0.056","0.676","9.552","19.17261","72.95312"
"20181024_194727","-0.248","1.03","9.696","19.17261","72.95312"
"20181024_194728","0.389","1.001","10.433","19.17264","72.9531"
"20181024_194728","0.044","0.393","10.009","19.17264","72.9531"
"20181024_194729","-0.324","0.927","9.928","19.17266","72.95307"
"20181024_194729","0.313","0.944","9.614","19.17266","72.95307"
"20181024_194730","0.327","0.436","10.019","19.17268","72.95305"
"20181024_194730","0.176","0.408","9.911","19.17268","72.95305"
"20181024_194731","0.473","0.982","9.938","19.1727","72.95303"
